FILE;ROSBAG FILE;YEAR;MONTH;DAY;HOUR;MINUTE;SECOND;DEPARTMENT;FLOOR;THERMAL OBJECTS;RGB OBJECTS
001077_1714385486913084909;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;3;3
001100_1714385489213689680;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;3;3
001186_1714385497813756204;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;2;2
001233_1714385502512353683;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;1;1
001294_1714385508609482908;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;1;1
001315_1714385510714281401;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;1;1
001367_1714385515914615276;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;3;3
001477_1714385526912260913;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;2;3
001501_1714385529314671527;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;4;4
001641_1714385543312709880;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;1;1
001681_1714385547313580310;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;1;1
001718_1714385551013514448;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;1;1
001741_1714385553314458307;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;1;1
001764_1714385555614092014;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;1;1
001803_1714385559512351251;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;1;1
001858_1714385565012204070;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;0;0
001925_1714385571710700410;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;0;0
001950_1714385574215132348;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;0;0
001980_1714385577211836074;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;0;0
002003_1714385579514554159;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;0;0
002045_1714385583712033963;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;0;0
002121_1714385591312230786;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;0;0
002160_1714385595212209905;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;0;0
002202_1714385599408397080;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;0;0
002294_1714385608612248095;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;2;2
002315_1714385610717206301;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;2;2
002375_1714385616713739964;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;2;2
002490_1714385628214145231;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;3;3
002539_1714385633113702866;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;3;3
002560_1714385635215454896;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;2;2
002698_1714385649017668202;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;1;1
002742_1714385653415727385;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;1;1
002779_1714385657111697325;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;0;0
002802_1714385659412596480;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;0;0
002825_1714385661708795753;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;0;0
002901_1714385669315064636;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;0;0
003039_1714385683108462404;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;0;0
003076_1714385686811030122;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;0;0
003232_1714385702411657832;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;1;1
003280_1714385707207129827;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;0;0
003305_1714385709705560812;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;0;0
003344_1714385713605844546;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;1;1
003372_1714385716405103372;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;6;6
003401_1714385719309167436;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;6;6
003443_1714385723508596837;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;3;3
003466_1714385725810140754;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;2;2
003506_1714385729811583425;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;0;0
003548_1714385734010796374;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;0;0
003604_1714385739610694396;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;0;0
003651_1714385744311732462;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;0;0
003698_1714385749005954523;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;0;0
003813_1714385760512525807;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;1;1
003931_1714385772311099962;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;1;1
004007_1714385779914023105;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;1;1
004051_1714385784316999185;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;2;2
004219_1714385801113009318;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;2;2
004245_1714385803708147328;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;4;3
004266_1714385805809503539;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;2;2
004302_1714385809412055832;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;3;3
004328_1714385812008143842;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;3;3
004349_1714385814108480004;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;3;3
004428_1714385822003722483;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;4;5
004590_1714385838204093709;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;6;6
004625_1714385841710634639;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;7;7
004651_1714385844302884943;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;9;9
004696_1714385848803710301;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;8;8
004773_1714385856511675548;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;7;7
004808_1714385860010669021;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;7;7
004853_1714385864506070494;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;4;4
004932_1714385872405165360;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;4;4
005051_1714385884306073402;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;4;4
005090_1714385888203682486;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;2;2
005114_1714385890602796633;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;3;3
005145_1714385893704141255;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;1;1
005166_1714385895805248683;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;0;0
005189_1714385898104172545;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;0;0
005229_1714385902110366275;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;0;0
005283_1714385907511986330;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;0;0
005350_1714385914205557065;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;3;3
005376_1714385916801984516;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;3;3
005415_1714385920706873985;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;4;4
005438_1714385923003428139;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;4;4
005475_1714385926708831663;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;3;3
005553_1714385934516602674;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;3;3
005576_1714385936803184383;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;3;3
005608_1714385940005899732;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;3;3
005669_1714385946101905318;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;5;5
005691_1714385948306138189;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;5;5
005718_1714385951014456226;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;3;3
005744_1714385953603284033;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;3;3
005772_1714385956406330194;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;4;4
005809_1714385960106455438;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;4;4
005856_1714385964802167383;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;3;3
005893_1714385968507455284;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;3;3
005919_1714385971104346884;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;3;3
005940_1714385973211565662;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;2;2
005966_1714385975804369742;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;2;2
005992_1714385978399916530;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;3;3
006025_1714385981710287319;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;3;3
006288_1714386008000085447;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;0;0
006411_1714386020305485527;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;0;0
006492_1714386028404637851;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;1;1
006515_1714386030710039648;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;1;1
006543_1714386033501572521;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;0;0
006567_1714386035903628488;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;2;2
000741_1714398386022018452;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;5;5
000991_1714398411021813731;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;5;8
001074_1714398419322162474;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;7;7
001153_1714398427221487517;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;3;3
001338_1714398445721698524;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;5;6
001369_1714398448821942249;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;6;6
001394_1714398451322055355;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;7;6
001416_1714398453521709306;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;7;6
001443_1714398456221785334;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;7;6
001477_1714398459621303706;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;8;6
001514_1714398463321998218;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;9;9
001541_1714398466019242178;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;10;9
001567_1714398468621685881;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;7;8
001590_1714398470919772636;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;8;11
001611_1714398473020112230;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;7;8
001633_1714398475222401694;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;5;5
001660_1714398477920966079;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;3;3
001687_1714398480618938098;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;4;4
001709_1714398482820890878;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;5;5
001731_1714398485022661064;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;3;3
001755_1714398487419994085;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;3;3
001778_1714398489720047850;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;4;4
001800_1714398491920378648;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;3;3
001822_1714398494120798284;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;3;3
001848_1714398496719838868;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;2;2
001875_1714398499419984986;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;4;4
001905_1714398502420122263;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;5;5
001948_1714398506721376899;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;4;4
001978_1714398509722066545;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;4;4
002003_1714398512220397862;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;5;5
002037_1714398515621297776;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;5;5
002069_1714398518819808469;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;4;5
002103_1714398522220342163;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;6;6
002129_1714398524820429392;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;6;6
002162_1714398528118651915;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;7;7
002183_1714398530220170560;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;5;5
002213_1714398533220513466;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;5;5
002257_1714398537619685224;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;6;6
002284_1714398540320420157;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;8;8
002306_1714398542520144207;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;6;6
002327_1714398544621009456;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;7;7
002353_1714398547219030334;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;4;4
002375_1714398549419842983;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;3;3
002400_1714398551923619863;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;4;5
002422_1714398554122590631;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;3;3
002449_1714398556821973268;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;4;4
002474_1714398559320282692;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;2;2
002499_1714398561821665374;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;3;3
002523_1714398564220429908;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;3;3
002549_1714398566819346756;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;2;2
002571_1714398569018869641;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;1;1
002592_1714398571119727838;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;1;1
002616_1714398573520680464;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;0;0
002647_1714398576620894355;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;0;0
002669_1714398578820540093;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;0;0
002691_1714398581021051742;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;0;0
002716_1714398583520485979;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;0;0
002738_1714398585720094927;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;0;0
002760_1714398587919997558;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;0;0
002789_1714398590820187898;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;0;0
002818_1714398593718893476;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;0;0
002845_1714398596422579317;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;0;0
002873_1714398599219832341;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;0;0
002898_1714398601719842457;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;0;0
002929_1714398604820693803;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;6;5
002964_1714398608320049813;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;6;7
002987_1714398610619609388;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;5;6
003008_1714398612721927735;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;5;6
003030_1714398614919270898;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;4;4
003054_1714398617321162764;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;7;7
003099_1714398621819504701;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;7;7
003122_1714398624118736731;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;7;7
003146_1714398626520094903;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;5;6
003176_1714398629520102378;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;5;5
003199_1714398631821078441;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;4;4
003224_1714398634318890350;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;4;4
003246_1714398636519984471;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;5;5
003280_1714398639920798107;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;8;8
003308_1714398642722229984;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;6;7
003354_1714398647321630103;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;5;7
003384_1714398650319854785;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;6;7
003411_1714398653018819928;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;7;8
003442_1714398656120004475;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;7;7
003468_1714398658719277697;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;9;8
003497_1714398661620807703;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;10;10
003527_1714398664619666852;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;7;7
003550_1714398666919344927;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;6;6
003573_1714398669219560147;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;5;6
003595_1714398671420691220;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;9;9
003621_1714398674019957302;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;7;7
003643_1714398676219966392;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;9;8
003668_1714398678720087127;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;7;7
003694_1714398681320580701;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;9;9
003719_1714398683820225639;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;9;9
003744_1714398686319263238;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;10;10
003766_1714398688520587060;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;7;7
003794_1714398691321530278;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;6;8
003842_1714398696120334209;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;7;8
003902_1714398702119040532;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;4;4
003944_1714398706319317751;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;8;8
004000_1714398711918827409;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;9;9
004070_1714398718920157763;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;8;9
004102_1714398722121582702;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;5;7
004142_1714398726119397808;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;5;5
004222_1714398734120840331;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;9;10
004250_1714398736918659278;2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;14;15
